,HastaneAdi,Enlem,Boylam,Adres,Telefon
72,Ankara Prof.Dr.Celal Ertuğ Etimesgut Devlet Hastanesi,395644.0,325644.0,İstasyon Hah. Leylak Cad.Ulubatlı Hasan Sokak No:5 Etimesgut,3122933000
73,Ankara Sincan Ağız Ve Diş Sağlığı Merkezi,39.969227,32.583218,S.B.Sincan Ağız Ve Diş Sağlığı Merkezi,3122680110
74,Ankara Sincan Dr.Nafiz Körez Devlet Hastanesi,39.98894,32.58604,Gazi Mustafa Kemal Bulvarı Tuğra Anıtı Yanı Sincan Ankara,3122635555
75,Ankara Tepebaşı Ağız Ve Diş Sağlığı Merkezi,39.984573,32.865246,Güçlükaya Mah Fatih Cad.Çağla Sok.No:2 Keçiören Ankara,3123600007
76,Ankara Topraklık Ağız Ve Diş Sağlığı Merkezi,39.92394,32.86032,Kıbrıs Cad. Orhun Sok. No:3 Topraklık/çankaya/ankara,3125855500
77,Ankara Türkiye Yüksek İhtisas Eğitim Ve Araştırma Hastanesi,39.93475,32.858047,Kızılay Sok. No:4 Altındağ/ankara,3123061000
78,Ankara Ulucanlar Göz Eğitim Ve Araştırma Hastanesi,39.940804,32.871094,Ulucanlar Cad. No:59 Altındağ/ankara,3123126261
79,Ankara Ulus Devlet Hastanesi,39.942616,32.850174,Rüzgarlı Cad.Gayret Sok. No:6 Ulus Altındağ/ankara,3125097000
80,Ankara Yenimahalle Devlet Hastanesi,40.002373,32.700806,"Yenibatı Mah. 2026 Cad. Pk:06370 Batıkent, Yenimahalle, Ankara",3125872000
81,Ankara Şereflikoçhisar Devlet Hastanesi,38.955654,33.527348,Kale Mah Hastane Sok. Ş.Koçhisar Ankara,3126871754
82,Antalya Akseki Devlet Hastanesi,37.0466,31.7922,Hacı İlyas Mah. Uzunyol Mevki Akseki/antalya,2426782091
83,Antalya Alanya Ağız Ve Diş Sağlığı Merkezi,36.558872,31.967976,Zamanoğlu Cad. Dinek Mah. 1515 Sok. Çevreyolu Üzeri Kale Petrol Arkası Alanya / Antalya,2425191944
84,Antalya Alanya Devlet Hastanesi,36.70366,31.992188,Fığla Mahallesi Hastane Caddesi,2425134841
85,Antalya Atatürk Devlet Hastanesi,36.725677,31.975708,"Üçgen Mahallesi Anafartalar Cad.  
Muratpaşa/antalya",2423454550
86,Antalya Ağız Ve Diş Sağlığı Merkezi,36.533302,30.403582,"Ağız Ve Diş Sağlığı Merkezi
Soğuksu Mah. Defterdarlık Bulvarı Muratpaşa / Antalya",2422375500
87,Antalya Demre Devlet Hastanesi,36.24211,30.01615,Demre Devlet Hastanesi  Beymelek Beldesi Demre Antalya,2428721610
88,Antalya Elmalı Devlet Hastanesi,36.742188,29.914398,Süleyman Demirel Bulvarı No:123 Elmalı/antalya,2426188300
89,Antalya Eğitim Ve Araştırma Hastanesi,36.903786,30.679321,"Varlık Mahallesi Kazım Karabekir Caddesi Soğuksu 07100 Antalya/türkiye
",2422494400
90,Antalya Finike Devlet Hastanesi,36.29631,30.136871,Eski Mah. Hastane Cad. Finike Finike/antalya,2428552000
91,Antalya Gazipaşa Devlet Hastanesi,36.27528,32.308044,"Cumhuriyet Mahallesi. Şehit Er Şadi Bal Cad.
 Gazipaşa/antalya",2425721562
92,Antalya Kaş Devlet Hastanesi,36.21104,29.66034,Yarım Ada Yolu Üzeri Pk:07580 Kaş-antalya,2428361185
93,Antalya Kemer Devlet Hastanesi,36.60322,30.561562,Merkez Mah. Hastane Cad. No:9 Posta Kodu:07980 Kemer/antalya,2428141550
94,Antalya Korkuteli Devlet Hastanesi,37.06443,30.197302,Aşağıpazar Mah. Hastane Cad ,2426436052
95,Antalya Kumluca Devlet Hastanesi,36.377068,30.2948,Kasapçayırı Mah. Kumluca-antalya,2428871480
96,Antalya Manavgat Ağız Ve Diş Sağlığı Merkezi,36.783993,31.390686,Selimiye Mah. Özal Cd. No:22 Side Beldesi Manavgat/antalya,2427533323
97,Antalya Manavgat Devlet Hastanesi,36.79365,31.440796,"Manavgat İlçe Devlet Hastanesi 
Şelale Yolu Üzeri  Manavgat-antalya",2427461117
98,Antalya Serik Devlet Hastanesi,36.92053,31.086845,"Merkez Mah. 2026 Sk. Serik / Antalya
Diş Protez Merkezi Adres Yeni Mah. Güssün Süleyman Süral Cad. 4079 Sok.
",2422721340
99,Artvin Arhavi Devlet Hastanesi,41.35166,41.304398,Artvin Arhavi Devlet Hastanesi,4663123071
100,Artvin Ağız Ve Diş Sağlığı Merkezi,41.181355,41.82076,Hastane Cad. Sağlık Sok. Ağız Ve Diş Sağlığı Merkezi,4662128306
101,Artvin Borçka Devlet Hastanesi,41.354843,41.680492,"Aksu Mah. Sigorta Cad. 
Borçka/artvin 08400
",4664152575
102,Artvin Devlet Hastanesi,41.183006,41.818947,"Artvin Merkez 
Çarşı Mah.Hastane Cad.
08000 / Artvin",4662121040
103,Artvin Hopa Devlet Hastanesi,41.4041,41.42847,Orta Hopa Mah.Liman Cad Hopa /artvin 08600,4663514017
104,Artvin Yusufeli Devlet Hastanesi,40.821075,41.544308,Hastane Caddesi Yusufeli/artvin,4668112015
105,Artvin Şavşat Devlet Hastanesi,41.252563,42.35986,Kazım Karaberkir Cad. Şavşat/artvin,4665171018
106,Aydın Atatürk Devlet Hastanesi,27.84,37.83,Kurtuluş Mh No:46 Aydin,2562129222
107,Aydın Ağız Ve Diş Sağlığı Merkezi,37.579414,28.54248,Kemer Mah. Aydın,2562197690
108,Aydın Devlet Hastanesi,37.851,27.836609,Aydın Devlet Hastanesi Hasanefendi Mahallesi Kızılay Cad. No 13 09100 Aydın,2562139000
109,Aydın Didim Devlet Hastanesi,37.373432,27.270813,19 mAyıs Caddesi Didim Devlet Hastanesi Didim Aydın,2568115757
110,Aydın Germencik Devlet Hastanesi,37.87485,27.59079,İstasyon Mahallesi Kaymakam Muammer Kutlu Caddesi No: 1 Germencik / Aydın,2565633242
111,Aydın Kadın Doğum Ve Çocuk Hastalıkları Hastanesi,37.849648,27.836952,Cumhuriyet Mah. Atatürk Bulvarı No:96 Aydın/merkez,2562122300
112,Aydın Kuşadası Devlet Hastanesi,37.87973,27.26944,Gazi Beğendi Mevkii Hülya Koçyiğit Bulvarı,2566182414
113,Aydın Nazilli Ağız Ve Diş Sağlığı Merkezi,37.910805,28.309748,Yeni Mah. 500 Sk. Şehit Mustafa Arslan Bulvarı No:65 Nazilli / Aydın,2563124630
114,Aydın Nazilli Devlet Hastanesi,37.919285,28.31726,Yeşil Mahalle 622. Sokak No 22,2563120000
115,Aydın Söke Ağız Ve Diş Sağlığı Merkezi,37.758774,27.408142,"Konak Mah. Aydın Cad. No:60
Eski Devlet Hastanesi Binası Söke/aydın",2565128787
116,Aydın Söke Fehime Faik Kocagöz Devlet Hastanesi,37.765,27.402649,Söke Aydın 09200,2565182361
117,Aydın Çine Devlet Hastanesi,37.607704,28.061142,Çine/aydın,2567115900
118,Balıkesir Atatürk Devlet Hastanesi,39.64134,27.88283,Yıldız Mah. Soma Cad. Balıkesir Merkez,2662213510
119,Balıkesir Ayvalık Devlet Hastanesi,39.18,26.41,Ayvalık Balıkesir,2663121744
120,Balıkesir Ağız Ve Diş Sağlığı Merkezi,39.651684,27.889631,"Bahçelievler Mh. 100. Yıl Cad. 289 Sk.
Merkez / Balıkesir",2662459004
121,Balıkesir Bandırma Ağız Ve Diş Sağlığı Merkezi,40.341507,27.967974,Sunullah Mahallesi Ordu Caddesi Lalelik Mevkii No 2,2667142325
122,Balıkesir Bandırma Devlet Hastanesi,40.352432,27.976019,Çanakkale Yolu Üzeri 5.Km Bandırma  Devlet Hastanesi,2667380022
123,Balıkesir Burhaniye Devlet Hastanesi,39.500366,26.975878,Mahkeme Mh. Hürriyet Cd. No:25 Burhaniye / Balıkesir,2664126999
124,Balıkesir Bigadiç Devlet Hastanesi,39.39062,28.126867,Fethibey Mahallesi Karlıca Tepesi Bigadiç Devlet Hastanesi,2666141300
125,Balıkesir Devlet Hastanesi,39.65411,27.892035,Atatürk Mah. 10000 / Balıkesir,2662459020
126,Balıkesir Dursunbey Devlet Hastanesi,39.585915,28.627068,Bozyokuş Mh.Zihni Özger C. No:1 Dursunbey /balıkesir,2666621040
127,Balıkesir Edremit Ali Fahri Akıllıoğlu Ağız Ve Diş Sağlığı Merkezi,39.58998,27.01995,"Darsofa Mah. Derli Yolu Cd. No:55
Edremit/balıkesir",2663743131
128,Balıkesir Edremit Devlet Hastanesi,39.577312,27.043554," Camivasat Mah. Ağulu Patlak Mevkii
Edremit/ Balıkesir",2663731313
129,Balıkesir Erdek Neyyire Sıtkı Devlet Hastanesi,40.39606,27.792149,Yalı Mahallesi Hükümet Caddesi Erdek/balıkesir,2668351077
130,Balıkesir Gönen Devlet Hastanesi,15.45,15.45,Manyas Yolu Üzeri Gündoğdu Mahallesi Prof. Dr. Işık Şenkaya Cd. No:1 10900 Gönen Balıkesir,2667621828
131,Balıkesir Göğüs Hastalıkları Hastanesi,39.63088,27.879116,"Sütlüce Mahallesi Soma Caddesi No:82 
Göğüs Hastalıkları Hastanesi Merkez Balıkesir",2662212510
132,Balıkesir Havran Devlet Hastanesi,39.563007,27.098272,Camikebir Mah Hastane Cad. No:55 Havran Balıkesir ,2664321567
133,Balıkesir Manyas Devlet Hastanesi,40.35248,27.976255,Çarşı Mah.Hükümet Çad. No:6 Manyas/balıkesir,2668181033
134,Balıkesir Savaştepe Devlet Hastanesi,39.38407,27.654068,İstiklal Mahallesi Çamlık Mevkii No:3 Savaştepe/balıkesir,2665521128
135,Balıkesir Sındırgı Devlet Hastanesi,39.654194,27.89197,Camicedit Mahallesi Balıkesir Caddesi No:74 Sındırgı/balıkesir,2665164100
136,Balıkesir Susurluk Devlet Hastanesi,39.916363,28.151373,Yeni Mahalle Hastane Caddesi Susurluk/balıkesir,2668652522
137,Balıkesir İvrindi Devlet Hastanesi,39.583996,27.484253,Kurtuluş Mh.Hastane Cad. No:1 İvrindi/balıkesir,2664561138
138,Bilecik Ağız Ve Diş Sağlığı Merkezi,40.13,29.98,Ertuğrulgazi Mh. Abbaslık Köyü Yolu Cd. Eser Sk. 11040 Merkez/bilecik,2282130102
139,Bilecik Bozüyük Devlet Hastanesi,53.27,3.46,Bozüyük Devlet Hastanesi B Blok (4 Eylül) Bozüyük Devlet Hastanesi A Blok (Yeşilkent ) Bozüyük Devlet Hastanesi Diş Tedavi Merkezi C Blok  (Eski Ssk Hastanesi ),2283140085
140,Bilecik Devlet Hastanesi,40138112.0,29979648.0,Ertuğrulgazi Mah.Tarlabaşı Sk.No:36,2282126341
141,Bilecik Osmaneli Devlet Hastanesi,44.76,19.89,"Camicedit Mah. İstanbul Cd No:60   Osmaneli/bilecik
Osmaneli M.Selahattin Çetintaş İlçe Devlet Hastanesi",2284614022
142,Bilecik Söğüt Devlet Hastanesi,40.03,30.176,Bilecik Karayolu 1 Km Söğüt Bilecik,2283616313
143,Bingöl Ağız Ve Diş Sağlığı Merkezi,38.89673,40.508984,Yenişehir Mah.Güldiken Sok. No:11 Merkez/bingöl,4262150400
144,Bingöl Devlet Hastanesi,38.894836,40.511967,Saray Mahallesi Düzağaç / Bingöl,4262131043
145,Bingöl Genç Devlet Hastanesi,38.751953,40.562687,Kültür Mah. Hastane Cad.,4264113520
146,Bingöl Kadın Doğum Ve Çocuk Hastalıkları Hastanesi,38.880924,40.498524,"Saray Mah. Bingöl-muş Karayolu Üzeri, Gayt Köprüsü Mevkii ",4262136844
147,Bingöl Karlıova İlçe Hastanesi,39.29729,41.012295,Kanireş Mahallesi/bingöl-erzurum Karayolu Üzeri Karlıova/bingöl,4265112266
148,Bingöl Solhan Devlet Hastanesi,38.968952,41.05696,Yeni Mah.345. Sokak No. 1 Solhan /bingöl,4267112483
149,Bitlis Adilcevaz Onkoloji Hastanesi,38.79978,42.76308,Atatürk Mah. Erçiş Cad. Adilcevaz \Bitlis,4343114493
150,Bitlis Ahlat Devlet Hastanesi,38.75651,42.490032,Selçuklu Mahallesi Hastane Caddesi No:38 Ahlat/bitlis,4344124013
151,Bitlis Ağız Ve Diş Sağlığı Merkezi,38.401646,42.10914,"Beşminare Mah. Ahmet Eren Bulvarı.
Devlet Hastanesi Yanı. Merkez-bitlis",4342468450
152,Bitlis Devlet Hastanesi,38.75621,42.49,Bitlis Devlet Hastanesi Beşminare Mahallesi,4342468420
153,Bitlis Güroymak Devlet Hastanesi,38.46972,42.13669,Şirintepe Mahallesi Güroymak,4345113855
154,Bitlis Hizan İlçe Hastanesi,38.49498,42.28964,Bitli Hizan Devlet Hastanesi,4346112380
155,Bitlis Mutki İlçe Hastanesi,145744.0,154244.0,Yeni Mah. Killer Cad. Mutki Bitlis,4347112700
156,Bitlis Tatvan Devlet Hastanesi,38.508682,42.285133,"Tatvan Devlet Hastanesi
Adres : Ahlat Yolu Üzeri Saray Mahallesi Tatvan / Bitlis 
Ana Bina Tel: (0434) 827 63 23 Ekhizmet Binası (Doğum Ve Çocuk) (0434) 826 12 32 Ekhizmet Binası (Eski Ssk) (0434) 827 63 25 
Fax: (0434) 827 76 99
",4348276323
157,Bolu Ağız Ve Diş Sağlığı Merkezi,40.733925,31.600779,Alpağut Mah. 6. Sokak No:79 Bolu,3742122435
158,Bolu Fizik Tedavi Ve Rehabilitasyon Hastanesi,40.688366,31.626999,Fatih Mah. İzzet Baysal Cad. Ihlamur Sok. No:7  Karacasu / Bolu ,3742628445
159,Bolu Gerede Devlet Hastanesi,40.79947,32.19129,"Seviller Mahallesi Atatürk Cad
Gerede Bolu",3743112022
160,Bolu Mudurnu İlçe Hastanesi,40.460384,31.214926,Hızırfakı Mah.Taşmektep Sok.No:6 Bolu/mudurnu,3744213047
161,Bolu İzzet Baysal Devlet Hastanesi,40.742672,31.609358,Sağlık Mah. Şehitler Cad. Bolu ,3742704575
162,Bolu İzzet Baysal Ruh Sağlığı Ve Hastalıkları Hastanesi,40.7516,31.557455,Ağaçcılar Köyü Mevkii Merkez ? Bolu,3742752525
163,Burdur Ağız Ve Diş Sağlığı Merkezi,37.75272,30.332201,Kışla Mah. Okul Cad. No:2 Burdur,2482338181
164,Burdur Bucak Devlet Hastanesi,37.458153,30.590658,Çavuşlar Mh. Tepecik Cd. No:2 ,2483252298
165,Burdur Devlet Hastanesi,37.729454,30.291367,"Burdur Devlet Hastanesi
Yeni Mahalle 
Eski Antalya Caddesi
                 15030 / Burdur",2482331334
166,Burdur Gölhisar Devlet Hastanesi,37.144627,29.508095,Cumhuriyet Caddesi Fatih Mahallesi Gölhisar Devlet Hastanesi,2484113007
167,Burdur Yeşilova Devlet Hastanesi,37.538044,29.76471,"Emek Mah. Hastane Cad. No:1
15500  Yeşilova/burdur",2486181016
168,Bursa Ali Osman Sönmez Onkoloji Hastanesi,40.647305,29.047852,Alaattin Mah.  Menekşe Sokak. Ali Osman Sönmez Onkoloji Has. No:9 Osmangazi/bursa,2242238200
169,Bursa Ağız Ve Diş Sağlığı Merkezi,29.091797,40.59727,Mimar Sinan Mah.Emniyet Cad.No:13 Yıldırım/bursa,2243668560
